"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Christian Yelich","Brewers","147","574","651","187","110","34","7","36","118","110","68","2","135","7","2","0","14","22","4",".326","10.4 %","20.7 %","0.50",".402",".598","1.000",".272","6.8",".373","133","57.0",".422","166","2.3","4.2","-0.7","116","113","120","67","35.0 %","34.9 %","38.1 %","27.0 %","14.5 %","37.9 %","47.6 %","11477"
"2017","Rhys Hoskins","Phillies","50","170","212","44","19","7","0","18","37","48","37","1","46","3","2","0","2","2","0",".259","17.5 %","21.7 %","0.80",".396",".618","1.014",".359","3.4",".241","43","17.2",".417","158","0.3","0.6","1.0","194","116","70","128","31.6 %","49.2 %","28.6 %","22.2 %","12.7 %","41.3 %","46.0 %","16472"
"2017","Tommy Pham","Cardinals","128","444","530","136","89","22","2","23","95","73","71","0","117","10","3","2","18","25","7",".306","13.4 %","22.1 %","0.61",".411",".520",".931",".214","6.0",".368","99","34.5",".398","149","1.6","4.3","-0.6","149","108","117","74","26.7 %","36.8 %","34.9 %","28.3 %","15.4 %","49.1 %","35.5 %","2967"
"2016","Kris Bryant","Cubs","155","603","699","176","99","35","3","39","121","102","75","5","154","18","3","0","3","8","5",".292","10.7 %","22.0 %","0.49",".385",".554",".939",".262","4.5",".332","127","45.1",".396","148","-0.9","3.0","5.0","124","112","68","134","18.8 %","46.7 %","33.6 %","19.7 %","17.0 %","42.7 %","40.3 %","15429"
"2017","Michael Conforto","Mets","109","373","440","104","56","20","1","27","72","68","57","5","113","8","2","0","3","2","0",".279","13.0 %","25.7 %","0.50",".384",".555",".939",".276","3.6",".328","80","26.4",".392","147","0.1","1.8","1.0","144","119","85","107","27.3 %","32.4 %","39.7 %","27.9 %","20.2 %","38.2 %","41.6 %","16376"
"2018","Juan Soto","Nationals","116","414","494","121","73","25","1","22","77","70","79","10","99","0","0","1","9","5","2",".292","16.0 %","20.0 %","0.80",".406",".517",".923",".225","3.5",".338","89","31.1",".392","145","-0.2","2.0","0.2","178","80","124","83","24.7 %","36.1 %","36.4 %","27.5 %","20.3 %","44.9 %","34.8 %","20123"
"2017","Marcell Ozuna","Marlins","159","613","679","191","122","30","2","37","93","124","64","4","144","0","2","0","18","1","3",".312","9.4 %","21.2 %","0.44",".376",".548",".924",".237","2.3",".355","121","38.4",".388","143","-1.5","-3.1","-0.6","105","94","107","95","23.4 %","38.6 %","36.3 %","25.1 %","18.3 %","42.7 %","39.1 %","10324"
"2018","Ronald Acuna Jr.","Braves","111","433","487","127","71","26","4","26","78","64","45","2","123","6","3","0","4","16","5",".293","9.2 %","25.3 %","0.37",".366",".552",".917",".259","6.3",".352","86","28.9",".388","143","0.9","1.6","0.3","103","84","98","113","21.1 %","43.8 %","36.1 %","20.1 %","13.7 %","41.9 %","44.4 %","18401"
"2017","Cody Bellinger","Dodgers","132","480","548","128","59","26","4","39","87","97","64","13","146","1","3","0","5","10","3",".267","11.7 %","26.6 %","0.44",".352",".581",".933",".315","5.5",".299","94","27.3",".380","138","0.4","-0.6","2.2","130","86","80","134","25.2 %","42.4 %","34.7 %","22.9 %","14.0 %","43.0 %","43.0 %","15998"
"2017","Jose Martinez","Cardinals","106","272","307","84","56","13","1","14","47","46","32","2","60","0","2","1","9","4","0",".309","10.4 %","19.5 %","0.53",".379",".518",".897",".210","4.6",".350","52","15.0",".379","136","0.6","0.2","-0.6","116","130","95","89","20.9 %","34.9 %","35.8 %","29.3 %","17.7 %","45.1 %","37.2 %","7996"
